AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2022-23,Fall,,DESN 100,001,,Mills Simeon,25,21,4,10,Cheney,SMWRF,10:00,12:20,5,Performance,Campus,,
2022-23,Fall,,DESN 100,040,,Sopu Ariel,24,22,2,10,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,
2022-23,Fall,,DESN 200,040,,Kuhn Jamin,27,24,3,10,Spokane,SMWRF,01:00,03:20,5,Lecture,Online,,
2022-23,Fall,,DESN 216,025,,Kelley Ian,24,24,0,10,Cheney,SMTWRF,,,,5,Performance,Campus,,
2022-23,Fall,,DESN 216,026,,Pettigrew Allan,24,24,0,10,Cheney,SMTWRF,,,,5,Performance,Campus,,
2022-23,Fall,,DESN 216,040,,Kuhn Jamin,24,20,4,10,Spokane,SMTWRF,04:00,06:20,5,Performance,Online,,
2022-23,Fall,,DESN 243,040,,Durr Sonja,24,7,17,10,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,
2022-23,Fall,,DESN 263,040,,Hustrulid Ginelle,24,12,12,10,Spokane,SMWRF,10:00,12:20,5,Performance,Online,,
2022-23,Fall,,DESN 301,040,,Mills Simeon,24,15,9,10,Spokane,SMTWRF,01:00,03:20,5,Performance,Online,,
2022-23,Fall,,DESN 338,025,,Lybbert Meg,24,15,9,10,Cheney,SMTWRF,,,,5,Performance,Campus,,
2022-23,Fall,,DESN 338,040,,Lybbert Meg,24,15,9,10,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,
2022-23,Fall,,DESN 350,040,,Sopu Ariel,24,18,6,10,Spokane,SMWRF,10:00,12:20,5,Lecture,Online,,
2022-23,Fall,,DESN 355,040,,Hustrulid Ginelle,24,20,4,10,Spokane,SMTWRF,04:00,05:50,4,Performance,Online,,
2022-23,Fall,,DESN 363,040,,Galey Eric,24,14,10,10,Spokane,SMWRF,10:00,11:50,4,Performance,Online,,
2022-23,Fall,,DESN 366,040,,Sopu Ariel,24,10,14,10,Spokane,SMWRF,01:00,02:50,4,Performance,Online,,
2022-23,Fall,,DESN 368,040,,Lybbert Meg,24,21,3,10,Spokane,SMTWRF,01:00,03:20,5,Performance,Online,,
2022-23,Fall,,DESN 458,040,,Manikoth Colin,24,12,12,10,Spokane,SMWRF,01:00,02:50,4,Performance,Online,,
2022-23,Fall,,DESN 463,040,,Durr Sonja,24,16,8,10,Spokane,SMWRF,08:00,09:50,4,Performance,Online,,
2022-23,Fall,,DESN 468,040,,Manikoth Colin,24,12,12,10,Spokane,SMWRF,10:00,11:50,4,Performance,Online,,
2022-23,Fall,,DESN 480,040,,Manikoth Colin,24,17,7,10,Spokane,SMTWRF,01:00,02:50,4,Performance,Online,,
2022-23,Fall,,DESN 490,040,,Breen Melinda,24,16,8,10,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,, Senior Capstone
2022-23,Fall,,DESN 493,040,,Pettigrew Allan,24,11,13,10,Spokane,SMTWRF,04:00,05:50,2,Performance,Online,,
2022-23,Fall,,DESN 495,040,,Breen Melinda,5,0,5,0,Spokane,SMTWRFS,,,,4,Field Application,Online,,
2022-23,Fall,,DESN 495,041,,Breen Melinda,4,4,0,0,Spokane,SMTWRFS,,,,5,Field Application,Online,,
2022-23,Fall,,DESN 495,042,,Breen Melinda,1,1,0,0,Spokane,SMTWRFS,,,,2,Field Application,Online,,
2022-23,Fall,,DESN 499,040,,Durr Sonja,5,0,5,0,Spokane,SMTWRFS,,,,4,Independent,Online,,
2022-23,Fall,,DESN 499,041,,Hustrulid Ginelle,5,0,5,0,Spokane,SMTWRFS,,,,4,Independent,Online,,
2022-23,Fall,,DESN 499,042,,Durr Sonja,1,1,0,0,Cheney,SMTWRFS,,,,2,Independent,Campus,,
2022-23,Fall,,DESN 499,043,,Breen Melinda,1,1,0,0,Spokane,SMTWRFS,,,,4,Independent,Online,,
2022-23,Fall,,DESN 499,044,,Breen Melinda,1,1,0,0,Cheney,SMTWRFS,,,,4,Independent,Campus,,
2022-23,Fall,,DESN 499,045,,Durr Sonja,2,1,1,0,Spokane,SMTWRFS,,,,4,Independent,Online,,
2022-23,Fall,,DESN 499,046,,Hustrulid Ginelle,1,1,0,0,Spokane,SMTWRFS,,,,5,Independent,Online,,
2022-23,Fall,,DESN 499,047,,Durr Sonja,1,1,0,0,Spokane,SMTWRFS,,,,4,Independent,Online,,
