AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2023-24,Fall,,DESN 100,001,15199,Sopu Ariel,25,23,2,5,Cheney,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 100,040,15200,Masingale Travis,24,17,7,5,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 200,040,15201,Mills Simeon,24,24,0,5,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 216,001,15202,Sopu Ariel,24,22,2,5,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 216,025,15218,Pettigrew Allan,26,25,1,5,Cheney,SMTWRF,,,5,Performance,Campus,,
2023-24,Fall,,DESN 216,075,17283,Pettigrew Allan,24,20,4,0,Cheney,SMTWRF,,,5,Performance,Campus,,
2023-24,Fall,,DESN 243,040,15203,Durr Sonja,24,15,9,5,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 263,040,15204,Hustrutid Ginelle,24,14,10,5,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 301,040,15205,Mills Simeon,24,17,7,5,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 326,040,15206,Hustrutid Ginelle,24,24,0,0,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 338,040,15207,Lybbert Meg,24,24,0,5,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 350,040,15208,Masingale Travis,24,14,10,5,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 359,001,15209,Durr Sonja,24,17,7,5,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 363,040,15210,Sopu Ariel,24,13,11,5,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 368,040,15211,Manikoth Colin,24,12,12,5,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 396,040,15212,Masingale Travis,24,14,10,5,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Experimental,Campus,,
2023-24,Fall,,DESN 399,001,17852,Lybbert Meg,24,24,0,0,Spokane,SMTWRF,,,2,Independent,Campus,,
2023-24,Fall,,DESN 399,002,17985,Masingale Travis,2,1,1,0,Spokane,SMTWRF,,,2,Independent,Campus,,
2023-24,Fall,,DESN 458,040,15213,Lybbert Meg,24,8,16,5,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 463,040,15214,Durr Sonja,24,16,8,5,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 480,040,15216,Manikoth Colin,24,9,15,5,Spokane,SMTWRF,08:00 AM,08:50 AM,5,Performance,Campus,,
2023-24,Fall,,DESN 490,040,15217,Breen Melinda,24,7,17,5,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Fall,,DESN 491,040,17264,Durr Sonja,24,24,0,0,Spokane,SMTWRF,,,3,Independent,Campus,,
2023-24,Fall,,DESN 491,041,17986,Breen Melinda,24,24,0,0,Spokane,SMTWRF,,,4,Independent,Campus,,
2023-24,Fall,,DESN 495,001,17814,Breen Melinda,3,2,1,0,Spokane,SMTWRF,,,5,Field Application,Campus,,
2023-24,Fall,,DESN 495,002,17938,Breen Melinda,2,1,1,0,Spokane,SMTWRF,,,2,Field Application,Campus,,
2023-24,Fall,,DESN 495,003,17939,Breen Melinda,2,1,1,0,Spokane,SMTWRF,,,3,Field Application,Campus,,
2023-24,Fall,,DESN 495,004,17950,Breen Melinda,2,1,1,0,Spokane,SMTWRF,,,4,Field Application,Campus,,
2023-24,Fall,,DESN 499,041,17813,Manikoth Colin,24,24,0,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Fall,,DESN 499,042,17956,Breen Melinda,24,24,0,0,Spokane,SMTWRF,,,1,Independent,Campus,,
2023-24,Fall,,DESN 499,043,17968,Durr Sonja,2,1,1,0,Spokane,SMTWRF,,,1,Independent,Campus,,
2023-24,Fall,,DESN 499,044,18016,Breen Melinda,24,24,0,0,Cheney,SMTWRF,,,6,Independent,Campus,,
