AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2022-23,Spring,,DESN 100,001,18551,Sopu Ariel,24,24,0,10,Cheney,SMTWRF,01:00,03:20,5,Performance,Campus,,
2022-23,Spring,,DESN 100,040,18552,Mills Simeon,24,18,6,10,Spokane,SMTWRF,01:00,03:20,5,Performance,Online,,
2022-23,Spring,,DESN 200,040,18553,Kuhn Jamin,24,18,6,5,Spokane,SMTWRF,04:00,06:20,5,Lecture,Online,,
2022-23,Spring,,DESN 216,025,18577,Pettigrew Allan,28,27,1,5,Cheney,SMTWRFS,,,,5,Performance,Campus,,
2022-23,Spring,,DESN 216,040,18554,Kuhn Jamin,24,19,5,5,Spokane,SMTWRF,03:00,05:20,5,Performance,Online,,
2022-23,Spring,,DESN 243,040,18555,Durr Sonja,24,24,0,5,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,
2022-23,Spring,,DESN 263,040,18556,Hustrulid Ginelle,27,22,5,5,Spokane,SMTWRF,01:00,03:20,5,Performance,Online,,
2022-23,Spring,,DESN 305,040,18557,Stodgell Brittany,24,19,5,5,Spokane,SMTWRF,05:00,07:20,5,Performance,Online,,
2022-23,Spring,,DESN 338,040,18558,Lybbert Meg,25,22,3,5,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,
2022-23,Spring,,DESN 348,040,18560,Lybbert Meg,24,9,15,10,Spokane,SMTWRF,05:00,06:50,4,Performance,Online,,
2022-23,Spring,,DESN 350,040,18561,Sopu Ariel,24,11,13,5,Spokane,SMTWRF,10:00,12:20,5,Lecture,Online,,
2022-23,Spring,,DESN 359,040,18562,Durr Sonja,24,13,11,5,Spokane,SMTWRF,10:00,12:20,5,Lecture,Online,,
2022-23,Spring,,DESN 363,040,18563,Galey Eric,24,12,12,5,Spokane,SMTWRF,08:00,09:50,4,Performance,Online,,
2022-23,Spring,,DESN 365,040,18564,Hustrulid Ginelle,24,13,11,5,Spokane,SMTWRF,01:00,02:50,4,Performance,Online,,
2022-23,Spring,,DESN 366,040,18565,Sopu Ariel,24,18,6,10,Spokane,SMTWRF,03:00,04:50,4,Performance,Online,,
2022-23,Spring,,DESN 368,040,18566,Manikoth Colin,24,8,16,5,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,
2022-23,Spring,,DESN 378,040,18567,Manikoth Colin,24,5,19,5,Spokane,SMTWRF,01:00,02:50,4,Performance,Online,,
2022-23,Spring,,DESN 385,001,18568,Braukmann James,20,5,15,10,Cheney,SMTWRF,01:00,02:50,4,Lecture,Campus,,Advanced Digital Sound
2022-23,Spring,,DESN 399,040,19650,Pettigrew Allan,5,5,0,0,Spokane,SMTWRFS,,,,5,Independent,Online,,Digital Foundation
2022-23,Spring,,DESN 401,040,18570,Mills Simeon,24,12,12,10,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,
